Name,Disc. Date,mmax,Host Name,R.A.,Dec.,Type
SN1986O,1986/12/24,14,NGC 2227,"06:25:57,06:25:57.900,06:25:57.9,06:25:58.02","-22:00.7,-22:00:44.00,-22:00:44.0,-22:00:42.2",Ia
SN1885A,1885/08/17,9,NGC 224,"00:42:43.0,00:42:43.100,00:42:43.1,00:42:43.00","+41:16:04,+41:16:04.00,+41:16:04.0",I
SN2014cc,2014/08/09,15.9,NGC 2255,06:33:57.76,-34:48:27.6,Ia
SN1997E,1997/01/14,15.32,NGC 2258,"06:47:38.10,06:47:38.100","+74:29:51.0,+74:29:51.00",Ia
SN1982B,1982/02/12,13.35,NGC 2268,"07:14:33.72,07:14:33.61,07:14:33.700,07:14:33.7","+84:23:11.7,+84:23:12.0,+84:23:12.00",Ia
SN2012hn,2012/04/12,16.5,NGC 2272,"06:42:42.55,06:42:42.6,06:42:42.48","-27:26:49.8,-27:26:50,-27:26:49.92",Ic Pec
SN2011fd,2011/08/20,14.8,NGC 2273B,"06:46:39.85,06:46:39.84","+60:21:02.8,+60:21:02.7",II P
SN2016gfy,2016/09/13,15.08,NGC 2276,"07:26:45.932,07:26:45.84,07:26:46.25","+85:45:51.17,+85:45:51.12,+85:45:51.1",II
SN1993X,1993/08/22,16.3,NGC 2276,"07:27:40.6,07:27:40.601,07:27:40.60","+85:46:26.2,+85:46:26.18",II
SN2005dl,2005/08/25,16.5,NGC 2276,07:27:31.75,+85:45:15.0,II
SN1962Q,1962/02/25,16.9,NGC 2276,"07:26:55,07:26:55.400,07:26:55.4,07:26:42.28","+85:45.1,+85:45:06.00,+85:45:06.0,+85:44:54.1",
SN1968V,1968/01/26,15.7,NGC 2276,"07:26:57,07:26:57.130,07:26:57.13,07:26:41.38","+85:45.9,+85:45:53.00,+85:45:53.0,+85:45:41.1",II
SN1968W,1968/03/24,16.6,NGC 2276,"07:27:14.23,07:27:16.600,07:27:16.6,07:27:06.58","+85:45:16.6,+85:45:23.00,+85:45:23.0,+85:45:12.1",
SN2001fz,2001/11/15,17,NGC 2280,"06:44:50.26,06:44:50.261","-27:37:12.7,-27:37:12.68",II
SN2017ixh,2017/12/12,17,NGC 2297,"06:44:26.500,06:44:26.64","-63:42:40.00,-63:42:41.76",Ib/c
SN1955C,1955/10/23,16,NGC 23,"00:09:54,00:09:54.300,00:09:54.3,00:09:54.74","+25:55.7,+25:55:39.00,+25:55:39.0,+25:55:33.0",
SN2005ai,2005/02/12,15.9,NGC 2314,07:10:32.76,+75:21:29.1,Ia
SN2011ay,2011/03/18,16.62,NGC 2315,07:02:34.06,+50:35:25.0,Ia-02cx
SN2006et,2006/09/03,15.82,NGC 232,00:42:45.82,"-23:33:30.4,-23:33:30.24",Ia
SN2000B,2000/01/11,15.8,NGC 2320,"07:05:40.73,07:05:40.730","+50:35:10.5,+50:35:10.50",Ia
SN2010ih,2010/09/29,12.8,NGC 2325,07:02:43.63,-28:37:25.2,Ia
SN2010ie,2010/09/23,17.5,NGC 2333,07:08:23.71,+35:10:11.2,II
SN1987L,1987/08/16,14.2,NGC 2336,"07:27:26.42,07:27:26.50,07:27:26.359,07:27:26.36","+80:09:30.6,+80:09:30.49,+80:09:30.60,+80:09:30.5",Ia
SN2004gd,2004/11/06,17.1,NGC 2341,07:09:11.71,+20:36:10.6,II
SN2001ee,2001/09/01,16.7,NGC 2347,"07:16:04.12,07:16:04.121,07:16:04.14","+64:42:19.7,+64:42:19.69,+64:42:19.6",II
SN2015I,2015/05/02,13.71,NGC 2357,"07:17:45.70,07:17:45.68","+23:20:40.6,+23:20:40.3",Ia
SN2010bj,2010/03/27,15.3,NGC 2357,07:17:43.21,+23:21:03.8,II
SN2008cm,2008/05/24,16.08,NGC 2369,07:16:38.75,-62:18:52.9,Ia
SN2010jv,2010/11/14,14.82,NGC 2379,"07:27:26.48,07:27:26.64","+33:48:41.8,+33:48:41.04",Ia
SN2015U,2015/02/13,15.74,NGC 2388,07:28:53.87,+33:49:10.6,Ibn
SN2006bc,2006/03/24,16,NGC 2397,07:21:16.50,-68:59:57.3,II P
SN2004dj,2004/07/31,10.69,NGC 2403,"07:37:17.02,07:37:17.044","+65:35:57.8,+65:35:57.84",II P
SN2002kg,2002/10/26,19,NGC 2403,07:37:01.83,+65:34:29.3,IIn
SN1954J,1954/11/26,,NGC 2403,"07:36:56.20,07:36:55.361,07:36:55.36","+65:37:52.3,+65:37:52.10,+65:37:52.1",II Pec?
SN2011gh,2011/09/19,18.2,NGC 2405,"07:32:14.94,07:32:14.9,07:32:14.88","+25:54:14.6,+25:54:15,+25:54:14.76",Ib
SN1998Y,1998/03/16,18.3,NGC 2415,"07:36:56.93,07:36:56.930,07:36:56.934","+35:14:36.0,+35:14:35.99,+35:14:36.01",II
SN2000C,2000/01/08,14.5,NGC 2415,"07:36:57.09,07:36:57.11,07:36:57.089,07:36:56.99","+35:14:38.8,+35:14:39.0,+35:14:38.80,+35:14:37.2",Ic
SN2011bh,2011/03/29,16.7,NGC 2431,07:45:13.62,+53:04:10.7,Ic
SN1995E,1995/02/20,15,NGC 2441,"07:51:56.75,07:51:56.750","+73:00:34.6,+73:00:34.60",Ia
SN2015F,2015/03/09,13.1,NGC 2442,07:36:15.76,-69:30:23.0,Ia
SN1999ga,1999/11/19,15.6,NGC 2442,"07:36:16.70,07:36:16.699,07:36:23.9","-69:33:21.8,-69:33:21.82,-69:31:48.0",II L
SN2016bam,2016/03/07,16.1,NGC 2444,"07:46:52.72,07:46:52.71","+39:01:21.8,+39:01:21.5",II
SN2014ak,2014/03/26,16.3,NGC 2446,"07:48:44.10,07:48:44.05",+54:36:40.5,Ia
SN2016iye,2016/12/19,18.25,NGC 2466,07:45:19.720,-71:24:17.90,IIb
SN2003gh,2003/06/29,15.5,NGC 2466,"07:45:17.93,07:45:17.938","-71:24:37.3,-71:24:37.39",Ia
SN1975O,1975/11/30,14.32,NGC 2487,"07:58:21,07:58:21.100,07:58:21.1,07:58:22.39","+25:08.1,+25:08:06.00,+25:08:06.0,+25:09:12.3",Ia
SN2014dv,2014/11/17,16,NGC 2501,07:58:30.10,-14:21:15.0,Ia
SN2010ja,2010/10/15,17.9,NGC 2513,08:02:28.39,+09:23:40.9,Ia
SN1998de,1998/07/23,16.47,NGC 252,"00:48:06.88,00:48:06.881","+27:37:28.5,+27:37:28.49",Ia Pec
SN2018gv,2018/01/15,12.83,NGC 2525,"08:05:34.610,08:05:34.56","-11:26:16.30,-11:26:16.8",Ia
SN2000fn,2000/12/17,18.8,NGC 2526,"08:06:57.79,08:06:57.790","+08:00:19.3,+08:00:19.30",Ib
SN1940E,1940/11/22,14,NGC 253,"00:47:31,00:47:31.400,00:47:31.4,00:47:29.36","-25:17.6,-25:17:37.00,-25:17:37.0,-25:17:35.6",I
SNhunt191,2013/04/30,16.9,NGC 2530,"08:07:53.9,08:07:53.90,08:07:54","+17:48:53,+17:48:53.0,+17:48:52.92",Candidate
SN1999gb,1999/11/22,15,NGC 2532,"08:10:13.70,08:10:13.68,08:10:13.699","+33:57:29.8,+33:57:29.88,+33:57:29.81",II
SN2016gil,2016/09/17,14.82,NGC 2532,"08:10:13.710,08:10:13.68,08:10:13.71","+33:57:25.67,+33:57:25.56,+33:57:25.6",II
SN2002hn,2002/11/05,16.8,NGC 2532,"08:10:14.95,08:10:14.88","+33:57:19.4,+33:57:19.44",Ic
SN1901A,1901/01/10,14.7,NGC 2535,"08:11:15.1,08:11:15.050,08:11:14.9,08:11:15.10","+25:12:41,+25:12:30.60,+25:12:30.6,+25:12:41.0",
SN2014ds,2014/10/11,16.3,NGC 2536,08:11:16.45,+25:10:47.4,IIb
SN2008hn,2008/11/25,19,NGC 2545,08:14:14.25,+21:21:37.9,Ib
SN2008P,2008/01/23,16.1,NGC 2550A,08:28:39.18,+73:45:02.9,II
SN2003hr,2003/08/31,16.4,NGC 2551,08:24:39.06,+73:24:23.3,II
SN2013gq,2013/03/25,14.84,NGC 2554,"08:17:53.51,08:17:53.46","+23:28:11.1,+23:28:10.5",Ia
SN2002hc,2002/10/23,14.5,NGC 2559,"08:17:06.05,08:17:06.15","-27:27:27.0,-27:27:27.8",II
SN1992I,1992/02/29,18,NGC 2565,"08:19:46.30,08:19:46.29,08:19:46.301","+22:01:59.8,+22:01:59.72,+22:01:59.92,+22:01:59.9,+22:01:59.7",II
SN1960M,1960/10/26,15.7,NGC 2565,"08:19:47.44,08:19:47.441","+22:02:28.7,+22:02:28.9,+22:02:28.72",I
SN2002an,2002/01/22,15.5,NGC 2575,"08:22:47.76,08:22:47.760","+24:17:41.7,+24:17:41.71",II
SN2007ax,2007/03/21,14.54,NGC 2577,"08:22:43.26,08:22:43.20,08:22:43.23","+22:33:16.9,+22:33:16.92",Ia Pec
SN2013fg,2013/09/02,15.4,NGC 2578,08:21:22.44,-13:18:37.0,Ia
SN2018hij,2018/10/11,17.84,NGC 2581,"08:24:30.554,08:24:30.48,08:24:30.55","+18:36:15.16,+18:36:15.12,+18:36:15.1",II P
SN2017jbj,2017/12/20,16.44,NGC 259,"00:48:05.420,00:48:05.42",-02:47:22.40,~
SN1999aa,1999/02/11,14.42,NGC 2595,"08:27:42.03,08:27:42.029","+21:29:14.8,+21:29:14.78",Ia Pec
SN2003bp,2003/03/06,17,NGC 2596,"08:27:27.81,08:27:27.828","+17:17:14.5,+17:17:14.59",Ib
SNhunt212,2013/09/24,19,NGC 2596,"08:27:28.8,08:27:28.75","+17:17:20,+17:17:20.2,+17:17:20.04",Candidate
SN1965P,1965/03/06,15.7,NGC 2599,"08:32:12,08:32:12.100,08:32:12.1,08:32:12.23","+22:33.9,+22:33:34.00,+22:33:34.0,+22:33:43.1",
SN2001bg,2001/05/08,12.8,NGC 2608,"08:35:18.86,08:35:18.96,08:35:18.859","+28:28:05.8,+28:28:05.88,+28:28:05.81",Ia
SN1920A,1920/01/01,10.4,NGC 2608,"08:35:15.7,08:35:15.84,08:35:16.300,08:35:16.3,08:35:15.86","+28:28:31,+28:28:31.44,+28:28:30.00,+28:28:30.0,+28:28:29.4",II
SN2014ao,2014/04/17,15.93,NGC 2615,08:34:33.32,-02:32:36.1,Ia
SN2008bi,2008/03/22,15.9,NGC 2618,"08:35:53.39,08:35:53.388","+00:42:23.1,+00:42:22.85",Ia
SN2018ggc,2018/09/08,17.6,NGC 2622,"08:38:10.690,08:38:10.67","+24:53:26.72,+24:53:26.7",Ia Pec
SN1999gd,1999/11/24,16.38,NGC 2623,"08:38:24.61,08:38:24.610","+25:45:33.1,+25:45:33.08",Ia
SNhunt403,2019/01/26,20.4,NGC 2628,"08:40:22.896,08:40:22.8",+23:32:06.72,
SN2008bh,2008/03/23,17.4,NGC 2642,08:40:46.15,"-04:07:09.3,-04:07:09.4",II
SN2002fj,2002/09/12,15.5,NGC 2642,"08:40:45.10,08:40:45.101","-04:07:38.5,-04:07:38.50",II
SN2016ccf,2016/04/30,16.46,NGC 2649,08:44:11.05,+34:42:55.8,II P
SN2011B,2011/01/07,12.39,NGC 2655,"08:55:48.10,08:55:48,08:55:48.50","+78:13:01.6,+78:13:00.84,+78:13:02.7",Ia
SN2005gl,2005/10/05,16.2,NGC 266,00:49:50.02,+32:16:56.8,IIn
SN2003je,2003/10/25,17.9,NGC 2668,08:49:22.24,+36:42:56.6,II
SN1938B,1938/01/01,15.5,NGC 2672,"08:49:24,08:49:24.300,08:49:24.3,08:49:24.08","+19:04.1,+19:04:07.00,+19:04:07.0,+19:04:10.9",
SN2012W,2012/01/27,15.9,NGC 268,"00:50:08.95,00:50:09.0,00:50:08.952","-05:11:17.5,-05:11:18,-05:11:17.484",II
SN2011hr,2011/11/08,13.8,NGC 2691,"08:54:46.03,08:54:46.02",+39:32:16.1,Ia-91T
SNhunt392,2018/09/30,19.3,NGC 271,"00:50:42.550,00:50:42.552",-01:54:06.84,
SN1968E,1968/03/21,13.36,NGC 2713,"08:57:21,08:57:21.100,08:57:21.1,08:57:20.89","+02:55.0,+02:54:58.00,+02:54:58.0,+02:55:03.0",Ia
SN1987M,1987/09/21,14.63,NGC 2715,"09:08:06,09:08:06.700,09:08:06.7,09:08:07.47","+78:05.4,+78:05:25.00,+78:05:25.0,+78:05:25.1",Ic
SN1995F,1995/02/14,14.7,NGC 2726,"09:04:57.40,09:04:57.401","+59:55:58.7,+59:55:58.69",Ib
SN2015Y,2015/04/11,15.9,NGC 2735,"09:02:37.87,09:02:37.92","+25:56:04.2,+25:56:03.84",Ib
SN2003Z,2003/01/29,16,NGC 2742,"09:07:32.46,09:07:32.468","+60:29:17.5,+60:29:17.59",II
SN2018iq,2018/01/19,17,NGC 2746,"09:05:59.780,9:05:59.7912","+35:22:24.00,+35:22:23.1672",Ia
SN2017gkk,2017/08/19,14.7,NGC 2748,"09:13:44.370,09:13:44.64,09:13:44.58","+76:28:42.40,+76:28:44.4",IIb
SN1985A,1985/01/25,14.5,NGC 2748,"09:13:42.35,09:13:42.47,09:13:42.401,09:13:42.40","+76:28:23.7,+76:28:23.81,+76:28:23.92,+76:28:23.9,+76:28:23.8",Ia
SN2013ff,2013/08/31,13.64,NGC 2748,"09:13:38.88,09:13:38.8",+76:28:10.8,Ic
SN2012ai,2012/02/20,17.4,NGC 2755,09:07:58.83,+41:42:19.9,II
SN2008hv,2008/12/02,14.26,NGC 2765,"09:07:34.06,09:07:34.066,09:07:34.08","+03:23:32.1,+03:23:32.18,+03:23:32.64,+03:23:32.10",Ia
SN2000ds,2000/10/10,17.3,NGC 2768,"09:11:36.24,09:11:36.28,09:11:36.240","+60:01:42.2,+60:01:43.3,+60:01:42.20",IIb/Ib/Ic (Ca rich)
SN1993Z,1993/09/23,13.87,NGC 2775,"09:10:19.60,09:10:19.58,09:10:19.601","+07:01:40.2,+07:01:40.13,+07:01:40.30,+07:01:40.3,+07:01:40.1",Ia
SN1994ak,1994/12/24,15.9,NGC 2782,"09:14:01.47,09:14:01.44,09:14:01.469","+40:06:21.5,+40:06:21.6,+40:06:21.50,+40:06:21.49",II
SN2009cz,2009/04/06,15.61,NGC 2789,09:15:00.02,+29:44:07.1,Ia
SN2010Z,2010/02/03,15.6,NGC 2797,09:16:21.30,+17:43:40.6,II
SNhunt308,2016/02/16,19.3,NGC 2801,"09:16:45.17,09:16:45.27,09:16:45.12","+19:56:07.6,+19:56:05.6,+19:56:07.44",
SN2017ilf,2017/11/20,17.39,NGC 2803,"09:16:44.728,09:16:44.70,09:16:44.64","+18:57:14.63,+18:57:14.9,+18:57:14.4",Ia
SN2019hsw,2019/06/18,15.4,NGC 2805,"09:20:33.763,09:20:33.84,09:20:33.698","+64:04:22.77,+64:04:22.8,+64:04:22.87",II
SN2005am,2005/02/22,13.66,NGC 2811,"09:16:12.47,09:16:12.96","-16:18:16.0,-16:18:15.84",Ia
SN2011co,2011/04/25,17.7,NGC 2815,"09:16:21.65,09:16:21.7,09:16:21.64,09:16:21.6","-23:37:17.4,-23:37:17,-23:37:17.3",II P
SN2014ai,2014/03/21,16.35,NGC 2832,09:19:44.17,"+33:45:49.4,+33:45:49.6",Ia
SN2009mx,2009/12/24,18.1,NGC 2839,09:20:37.72,+33:38:52.9,Ia
SN1999by,1999/04/30,12.83,NGC 2841,"09:21:52.07,09:21:52.18,09:21:52.070","+51:00:06.6,+51:00:07.2,+51:00:06.59",Ia Pec
SN1957A,1957/02/26,13.45,NGC 2841,"09:21:51.2,09:21:50.400,09:21:50.4,09:21:51.20","+50:59:52,+50:59:43.00,+50:59:43.0,+50:59:52.0",Ia
SN1972R,1972/12/05,15.6,NGC 2841,"09:21:56,09:21:56.700,09:21:56.7,09:21:57.52","+50:57.3,+50:57:20.00,+50:57:20.0,+50:57:27.0",Ib
SN1912A,1912/02/19,13,NGC 2841,"09:21:56,09:21:56.400,09:21:56.4,09:21:57.10","+50:58.8,+50:58:50.00,+50:58:50.0,+50:58:57.0",
SN1994L,1994/04/08,14.7,NGC 2848,"09:20:08.8,09:20:17.100,09:20:09.03","-16:32:28,-16:31:60.00,-16:32:00.0,-16:32:28.7",II
SN1991K,1991/12/15,16.5,NGC 2851,"09:20:30.37,09:20:30.44,09:20:30.461,09:20:30.46","-16:30:01.9,-16:30:02.39,-16:30:01.80,-16:30:01.8,-16:30:02.4",Ia
SN2012fg,2012/10/07,14.5,NGC 2857,"09:24:37.95,09:24:38.05","+49:21:32.0,+49:21:34.0",IIb
SN2016gwl,2016/10/02,15.95,NGC 2865,"09:23:28.020,09:23:28.08,09:23:28.03","-23:10:10.74,-23:10:10.92,-23:10:10.7",Ia
SN2007rb,2007/10/26,17.3,NGC 2889,09:27:11.58,-11:38:17.7,Ib/c
SN2013cg,2013/05/06,13.3,NGC 2891,09:26:56.77,-24:46:59.6,Ia
SN2005ip,2005/11/05,10.97,NGC 2906,"09:32:06.42,09:32:06.48","+08:26:44.4,+08:26:44.52",IIn
SN1998ar,1998/04/14,18.4,NGC 2916,"09:34:58.86,09:34:58.860","+21:42:57.5,+21:42:57.49,+21:42:57.54",II
SN2019enr,2019/05/04,17.4,NGC 2919,09:34:47.720,+10:17:12.81,II
SN2005K,2005/01/15,17.8,NGC 2923,09:36:04.31,+16:45:46.8,II
SNhunt163,2012/12/17,18.8,NGC 2924,"09:35:11.65,09:35:11.7,09:35:11.66,09:35:11.76","-16:24:17.7,-16:24:18,-16:24:17.8,-16:24:17.64",Ia
SN2012C,2012/01/04,16.6,NGC 2926,09:37:30.48,+32:50:31.5,Ic
SN2010jn,2010/10/12,16.77,NGC 2929,"09:37:30,09:37:29.83,09:37:30.30","+23:09:38.88,+23:09:41.8,+23:09:33.6",Ia
SN2005M,2005/01/19,15.91,NGC 2930,"09:37:32.76,09:37:32.40,09:37:32.36","+23:12:10.0,+23:12:02.88,+23:12:02.7",Ia
SN1996Z,1996/05/16,14.13,NGC 2935,"09:36:44.82,09:36:44.820","-21:08:51.7,-21:08:51.68",Ia
SN1975F,1975/05/14,15,NGC 2935,"09:36:45,09:36:45.300,09:36:45.3,09:36:45.27","-21:07.9,-21:07:52.00,-21:07:52.0,-21:07:50.8",Pec
SN2018fmf,2018/08/22,15.91,NGC 2938,"09:38:29.343,09:38:29.28,09:38:29.31","+76:19:11.64,+76:19:11.7",II P
SN2009ao,2009/03/04,15.8,NGC 2939,09:38:08.54,+09:31:00.7,~
SN2011cf,2011/04/28,18.2,NGC 2939,"09:38:08.28,09:38:08.27",+09:31:11.1,II
SN2018apk,2018/04/02,17.02,NGC 2943,"09:38:35.590,09:38:35.28","+17:01:45.00,+17:01:41.52",Ia
SN1993C,1993/01/27,18,NGC 2954,"09:40:23.79,09:40:23.820,09:40:23.82","+14:56:11.2,+14:56:11.24,+14:56:11.51,+14:56:11.5",Ia
SN2015A,2015/01/09,16.6,NGC 2955,09:41:15.55,+35:53:17.4,Ia
SN2000I,2000/02/04,16.8,NGC 2958,"09:40:41.55,09:40:41.52,09:40:41.54,09:40:41.539","+11:53:08.2,+11:53:08.52,+11:53:08.5,+11:53:08.48",II
SN1995D,1995/02/10,12.7,NGC 2962,"09:40:54.753,09:40:54.79,09:40:54.751,09:40:54.75","+05:08:26.16,+05:08:26.6,+05:08:26.20,+05:08:26.2",Ia
SN1989D,1989/02/03,16,NGC 2963,"09:47:50.75,09:47:50.83,09:47:50.700,09:47:50.7","+72:58:14.5,+72:58:14.51,+72:58:15.00,+72:58:15.0",Ia
SN2011in,2011/11/10,16.1,NGC 2966,"09:42:11.36,09:42:11.35",+04:40:23.1,II
SN2010fz,2010/07/09,15.4,NGC 2967,09:42:04.77,+00:19:51.0,Ia
SN1970L,1970/10/31,14.87,NGC 2968,"09:43:20,09:43:20.700,09:43:20.7,09:43:21.43","+31:57.1,+31:57:06.00,+31:57:06.0,+31:56:58.6",I
SN1986K,1986/09/01,16.5,NGC 298,"00:55:05.32,00:55:05.34,00:55:05.381,00:55:05.38","-07:20:02.2,-07:20:02.46,-07:20:02.51,-07:20:02.5",II
SN2006ba,2006/03/19,16.81,NGC 2980,09:43:13.40,-09:36:53.0,II
SN2009lm,2009/11/17,17.7,NGC 2980,09:43:12.07,-09:36:19.9,II
SN1999gh,1999/12/03,14.4,NGC 2986,"09:44:19.75,09:44:19.750,09:44:20.2","-21:16:25.0,-21:16:25.00,-21:16:13.0",Ia
SN2017ejx,2017/05/30,15.6,NGC 2993,"09:45:48.610,09:45:48.48","-14:22:05.74,-14:22:05.52",II P
SN2003ao,2003/02/10,17.3,NGC 2993,"09:45:48.46,09:45:48.468","-14:22:14.0,-14:22:14.09",II
SN2017bos,2017/03/01,16.3,NGC 2996,"09:46:29.980,09:46:30.24","-21:34:19.78,-21:34:17.76",Ia
SN2003jg,2003/10/24,16.8,NGC 2997,"09:45:38.40,09:45:37.91","-31:11:19.9,-31:11:21.0",Ic
SN2008eh,2008/07/21,15,NGC 2997,09:45:48.16,-31:10:44.9,
SN2019qyl,2019/09/26,17.07,NGC 300,00:54:57.570,-37:38:39.99,IIn/LBV
SN2010hg,2010/09/01,13.9,NGC 3001,"09:46:13.7,09:46:13.70","-30:27:13,-30:27:13.3",Ia
SN1961F,1961/02/21,12.99,NGC 3003,"09:48:38.32,09:48:38.41,09:48:38.311,09:48:38.31","+33:25:35.1,+33:25:35.35,+33:25:35.11",II
SNhunt236,2014/02/28,18.8,NGC 3012,"09:49:55.1,09:49:55.13,09:49:55.2","+34:41:47,+34:41:47.4",Candidate
SN2019eto,2019/05/07,17.13,NGC 3016,"09:49:50.634,09:49:50.64","+12:41:43.12,+12:41:43.44",Ic BL
SNhunt32,2011/01/16,,NGC 3016,09:49:50.2,+12:41:36,Candidate
SN1995al,1995/11/01,12.7,NGC 3021,"09:50:55.97,09:50:55.970","+33:33:09.4,+33:33:09.40",Ia
SN1993J,1993/03/28,9.91,NGC 3031,"09:55:24.7747,09:55:24.95,09:55:25.001,09:55:25.00","+69:01:13.702,+69:01:13.38,+69:01:13.01,+69:01:13.0,+69:01:13.4",IIb
SN2014J,2014/01/21,8.98,NGC 3034,"09:55:42.12,09:55:42.14","+69:40:25.9,+69:40:26.0",Ia
SN2004am,2004/03/05,16,NGC 3034,09:55:46.61,+69:40:38.1,II
SN2008iz,2008/03/24,20,NGC 3034,09:55:51.55,+69:40:45.8,II
SN1983E,1983/03/13,14,NGC 3044,"09:53:42,09:53:42.840,09:53:42.84","+01:34.6,+01:34:34.39,+01:34:34.4,+01:34:34.3",II
SN2006T,2006/01/30,14.78,NGC 3054,09:54:30.21,-25:42:29.3,IIb
SN2004de,2004/07/15,14.5,NGC 3054,09:54:27.48,-25:41:34.7,
SN1997cx,1997/07/12,15,NGC 3057,"10:05:37.43,10:05:37.430","+80:17:27.6,+80:17:27.60",II
SN2009am,2009/02/21,18.1,NGC 3060,09:56:19.60,+16:50:04.1,II
SN2008ee,2008/07/16,14.6,NGC 307,00:56:32.96,-01:46:16.0,Ia
SN2018gl,2018/01/13,16.38,NGC 3070,"09:58:06.110,09:58:06.12,09:58:06","+10:21:33.61,+10:21:33.7,+10:21:33.48",Ia
SN2007aw,2007/03/22,17.41,NGC 3072,09:57:24.16,-19:21:23.1,Ic
SN1965N,1965/12/21,15.72,NGC 3074,"09:59:41.71,09:59:41.72,09:59:41.710","+35:23:43.6,+35:23:43.9,+35:23:43.69,+35:23:43.7",II
SN2002cp,2002/04/28,16.8,NGC 3074,"09:59:35.95,09:59:35.950","+35:23:57.4,+35:23:57.41",Ic
SN1998W,1998/03/16,17.3,NGC 3075,"09:58:54.83,09:58:54.830","+14:25:25.7,+14:25:25.72",II
SN2001ci,2001/04/25,17.4,NGC 3079,"10:01:57.33,10:01:57.21,10:01:57.331","+55:41:14.6,+55:41:14.0,+55:41:14.60",Ic
SN2013ee,2013/07/13,14.09,NGC 3079,"10:01:56.830,10:01:56.83","+55:41:44.00,+55:41:44.0",II
SN1999ge,1999/11/27,15.5,NGC 309,"00:56:43.76,00:56:43.759","-09:54:43.0,-09:54:42.98",II
SN2008cx,2008/06/05,17.8,NGC 309,"00:56:45.90,00:56:45.9",-09:54:19.0,IIb
SN2012dt,2012/07/17,18,NGC 309,00:56:38.88,-09:54:09.1,II
SN2014ef,2014/12/13,17.3,NGC 309,00:56:39.65,-09:54:02.8,Ib
SN2005kh,2005/11/17,18.6,NGC 3094,10:01:25.41,+15:46:49.4,II
SN2004ej,2004/09/10,15.9,NGC 3095,10:00:02.84,-31:33:25.5,II
SN2008bp,2008/04/02,17.6,NGC 3095,10:00:01.57,-31:33:21.8,II
SN2009gt,2009/06/25,15.5,NGC 3106,10:04:06.78,+31:12:29.3,
SN1983J,1983/04/08,16,NGC 3106,"10:04:07,10:04:07.600,10:04:07.6,10:04:06.12","+31:11.1,+31:11:08.00,+31:11:08.0,+31:10:55.6",
SN2015ca,2015/03/11,18.7,NGC 3110,10:04:01.570,-06:28:25.48,II P
SN1935B,1935/04/01,,NGC 3115,"10:05:11,10:05:11.400,10:05:11.4,10:05:11.56","-07:42.1,-07:42:08.00,-07:42:08.0,-07:42:06.6",
SN1999ca,1999/04/27,15.17,NGC 3120,"10:05:22.95,10:05:22.8,10:05:22.92,10:05:22.920","-34:12:41.0,-34:12:41.4,-34:12:41.3,-34:12:41.29",II P
SN2010F,2010/01/13,14.7,NGC 3120,10:05:21.05,-34:13:21.0,II
SNhunt190,2013/04/25,17,NGC 3139,"10:10:04.70,10:10:04.7,10:10:04.72,10:10:04.8","-11:46:35.4,-11:46:35,-11:46:35.2",Ia
SN2008gx,2008/11/04,17.2,NGC 3144,10:15:32.95,+74:12:59.1,II
SN2006gi,2006/09/18,15.63,NGC 3147,10:16:46.76,+73:26:26.4,Ib
SN1972H,1972/08/08,15.1,NGC 3147,"10:17:00,10:17:00.400,10:17:00.4,10:17:00.89","+73:24.6,+73:24:39.00,+73:24:39.0,+73:24:39.8",I
SN1997bq,1997/04/07,14.45,NGC 3147,"10:17:05.33,10:17:05.330","+73:23:02.1,+73:23:02.11",Ia
SN2008fv,2008/09/27,14.84,NGC 3147,"10:16:57.28,10:16:57.36","+73:24:36.4,+73:24:35.64",Ia
SN2012gl,2012/10/29,16.1,NGC 3153,10:12:50.32,+12:40:56.7,Ia
SN2008hx,2008/12/03,18.9,NGC 3154,"10:13:00.91,10:13:00.82","+17:02:07.8,+17:02:09.3",II
SN2018aaz,2018/03/06,17.17,NGC 3158,"10:13:48.240,10:13:48.24,10:13:48.27","+38:45:47.40,+38:45:47.16,+38:45:47.1",Ia-91bg
SN1997C,1997/01/13,17.4,NGC 3160,"10:13:56.18,10:13:56.179","+38:49:00.5,+38:49:00.52",Ia
SN2012cw,2012/06/14,16,NGC 3166,10:13:47.95,+03:26:02.6,Ic
SN2003cg,2003/03/21,13.43,NGC 3169,"10:14:15.97,10:14:16.00,10:14:16.008","+03:28:02.5,+03:28:01.7,+03:28:01.79",Ia
SN1984E,1984/03/26,14.65,NGC 3169,"10:14:11.0,10:14:11.000,10:14:11.01","+03:28:12,+03:28:13,+03:28:13.00,+03:28:13.0",II
SN2010af,2010/03/04,17.1,NGC 3172,"11:39:19.3,11:39:19.30","+89:06:06,+89:06:05.7",Ia
SN2017gla,2017/09/01,16,NGC 3172,11:47:21.950,+89:05:09.54,Ia
SN1947A,1947/03/15,16.5,NGC 3177,"10:16:35,10:16:35.600,10:16:35.6,10:16:35.36","+21:06.7,+21:06:45.00,+21:06:45.0,+21:06:42.9",II
SN2011dd,2011/05/15,15.8,NGC 3178,"10:16:09.65,10:16:09.64","-15:47:35.1,-15:47:35.0",II P
SN1999gl,1999/12/14,17.41,NGC 317B,"00:57:40.07,00:57:40.070","+43:47:35.6,+43:47:35.59",II
SN2014dj,2014/09/24,17,NGC 317B,00:57:40.18,"+43:47:35.1,+43:47:34.2,+43:47:43.2",Ic
