Name,Disc. Date,mmax,Host Name,R.A.,Dec.,Type
SN2007ke,2007/09/24,17.99,NGC 1129,02:54:23.90,+41:34:16.3,Ib (Ca rich)
SN2017fqk,2017/07/24,17.1,NGC 1137,"02:54:02.094,02:54:02.088","+02:58:07.71,+02:58:07.716",II
SN2010lp,2010/12/29,15.4,NGC 1137,02:54:03.50,+02:57:43.4,Ia
SN2000dp,2000/10/02,16.8,NGC 1139,"02:52:44.41,02:52:44.410","-14:31:54.7,-14:31:54.70",Ia
SN2011jp,2011/12/27,15.5,NGC 1154,"02:58:07.60,02:58:07.59","-10:21:54.1,-10:21:54.0",II P
SN1993ab,1993/09/24,18,NGC 1164,"03:02:01.5,03:02:01.500,03:02:01.43","+42:34:53,+42:34:53.00,+42:34:53.0,+42:34:53.9",Ia
SN2016hsr,2016/11/02,18.5,NGC 1164,03:02:00.160,+42:35:27.35,II
SN2018htf,2018/11/03,17.6,NGC 1166,"03:00:35.000,03:00:35.088","+11:50:39.40,+11:50:38.76",II
SN2001dw,2001/08/25,16.6,NGC 1168,"03:00:47.88,03:00:47.880","+11:46:27.5,+11:46:27.52",Ia
SN2016G,2016/01/09,15.34,NGC 1171,"03:03:57.74,03:03:57.696","+43:24:03.5,+43:24:03.6",Ic BL
SN2018isq,2018/11/20,16.15,NGC 1184,"03:16:50.600,03:16:50.62","+80:47:04.50,+80:47:04.6",Ia
SN2007Y,2007/02/15,14.64,NGC 1187,03:02:35.92,-22:53:50.1,Ib
SN1982R,1982/10/24,14.4,NGC 1187,"03:02:39.41,03:02:39.48,03:02:39.511,03:02:39.51","-22:51:01.0,-22:51:01.49,-22:51:01.40,-22:51:01.4,-22:51:01.5",Ib
SN2008R,2008/01/27,15.31,NGC 1200,"03:03:53.70,03:03:53.71","-11:59:39.4,-11:59:39.48",Ia
SN2003hv,2003/09/09,12.49,NGC 1201,03:04:09.32,-26:05:07.5,Ia
SN2018htt,2018/10/31,14.8,NGC 1209,"03:06:02.900,03:06:02.904","-15:36:41.69,-15:36:41.4",Ia
SN2012eg,2012/08/18,16.8,NGC 1213,03:09:16.97,+38:38:20.7,II P
SN2000fs,2000/09/06,18.7,NGC 1218,"03:08:26.23,03:08:26.24,03:08:26.239","+04:06:39.0,+04:06:39.9,+04:06:39.89",Ia
SNhunt110,2012/02/12,17.2,NGC 1218,"03:08:27.6,03:08:27.63,03:08:27.624","+04:05:35,+04:05:34.5,+04:05:34.512",Candidate
SN2017lf,2017/01/22,17.28,NGC 1233,"03:12:33.600,03:12:33.6,03:12:33.60","+39:19:15.30,+39:19:14.16",Ia
SN2009lj,2009/11/13,18.8,NGC 1233,03:12:32.49,+39:18:42.0,IIb/Ib/Ic
SN2004dd,2004/07/12,17.1,NGC 124,00:27:52.98,-01:48:46.3,II P
SN1980O,1980/12/30,13,NGC 1255,"03:13:27,03:13:27.000,03:13:27.0,03:13:26.61","-25:44.5,-25:44:31.00,-25:44:31.0,-25:44:30.0",II
SN2008L,2008/01/14,15.77,NGC 1259,03:17:16.65,+41:22:57.6,Ia
SN2006gy,2006/09/18,14.18,NGC 1260,03:17:27.06,+41:24:19.5,II
SN2008fg,2008/08/30,16.6,NGC 1268,"03:18:44.13,03:18:44.10","+41:28:57.1,+41:28:57.2",Ia
SN2016arc,2016/02/26,16.35,NGC 1272,"03:19:21.27,03:19:21.312","+41:29:24.9,+41:29:25.8",Ia
SN2005mz,2005/12/31,16.57,NGC 1275,03:19:49.88,+41:30:18.6,Ia
SN1968A,1968/01/25,14.74,NGC 1275,"03:19:49,03:19:49.200,03:19:49.2,03:19:48.88","+41:30.2,+41:30:14.00,+41:30:14.0,+41:30:17.4",I
SN2016ajf,2016/02/18,16.08,NGC 1278,"03:19:54.47,03:19:54.48","+41:33:53.5,+41:33:54",Ia
SN2014da,2014/08/07,15.4,NGC 128,00:29:15.12,+02:51:57.6,Ia-91bg
SN2018jfp,2018/11/28,17.76,NGC 1280,"03:17:56.277,03:17:56.28,03:17:56.26","-00:10:10.94,-00:10:10.812,-00:10:10.7",II
SN2013el,2013/07/11,15.3,NGC 1285,03:17:52.45,-07:18:02.1,Ib Pec
SN2017fvf,2017/07/30,17.81,NGC 1285,"03:17:53.310,03:17:53.304","-07:18:00.97,-07:18:00.972",II P
SN2004F,2004/01/16,17.1,NGC 1285,"03:17:53.80,03:17:53.808","-07:17:43.0,-07:17:43.08",II
SN2006dr,2006/07/17,16,NGC 1288,03:17:14.19,-32:34:31.8,Ia
SNhunt146,2012/08/28,18.2,NGC 1296,"03:18:51.12,03:18:51.1","-13:03:47.2,-13:03:47,-13:03:47.16",Ia
SN2009hh,2009/07/10,16,NGC 1301,03:20:34.73,-18:42:54.4,Ic
SN2003if,2003/09/20,17.5,NGC 1302,03:19:52.61,-26:03:50.5,Ia
SN2012Z,2012/01/29,13.9,NGC 1309,"03:22:05.3964,03:22:05.35","-15:23:14.939,-15:23:15.6",Ia-02cx
SN2002fk,2002/09/17,12.45,NGC 1309,"03:22:05.71,03:22:05.710","-15:24:03.2,-15:24:03.20",Ia
SN1965J,1965/08/31,18,NGC 1310,"03:21:04.58,03:21:04.59,03:21:04.579","-37:06:14.6,-37:06:14.8,-37:06:14.69,-37:06:14.7",
SN1978K,1978/07/31,16,NGC 1313,"03:17:38.6,03:17:39.000,03:17:38.60,03:17:38.620","-66:33:04.6,-66:33:04.00,-66:33:03.0,-66:33:03.40",II
SN1962M,1962/11/26,11.4,NGC 1313,"03:18:12.26,03:18:12.200,03:18:12.2,03:18:15.45","-66:31:38.5,-66:31:38.00,-66:31:38.0,-66:32:20.7",II
SN1980N,1980/12/07,12.28,NGC 1316,"03:22:59,03:23:00.300,03:23:00.3,03:23:00.16","-37:12.8,-37:12:50.00,-37:12:50.0,-37:12:49.7",Ia
SN2006mr,2006/11/05,13.9,NGC 1316,"03:22:42.84,03:22:43.03","-37:12:28.5,-37:12:29.16",Ia Pec
SN1981D,1981/03/01,12.37,NGC 1316,"03:22:39,03:22:38.400,03:22:38.4,03:22:40.07","-37:14.1,-37:13:58.00,-37:13:58.0,-37:14:09.7",Ia
SN2006dd,2006/06/19,14.51,NGC 1316,"03:22:41.64,03:22:41.62","-37:12:13.2,-37:12:13.0",Ia
SN2004fe,2004/10/30,16.53,NGC 132,00:30:11.27,+02:05:23.5,Ic
SN1994aa,1994/09/14,17,NGC 1320,"03:24:49.39,03:24:49.40,03:24:49.399","-03:02:33.5,-03:02:33.6,-03:02:33.61",Ia
SN2018hjx,2018/10/15,17.83,NGC 1323,"03:24:55.580,03:24:55.57","-02:49:19.58,-02:49:19.9",Ib/c
SN1975S,1975/12/30,14.6,NGC 1325,"03:24:30,03:24:30.100,03:24:30.1,03:24:29.41","-21:31.3,-21:31:16.00,-21:31:16.0,-21:31:21.3",II
SN2018jky,2018/12/05,15.33,NGC 1329,"03:26:02.117,03:26:02.136,03:26:02.14,03:26:02.112","-17:33:46.95,-17:33:46.44,-17:33:46.4,-17:33:46.8",Ia
SN1982E,1982/03/29,14,NGC 1332,"03:26:39,03:26:39.600,03:26:39.6,03:26:39.97","-21:17.2,-21:17:13.00,-21:17:13.0,-21:17:16.1",
SN2009gj,2009/06/20,14,NGC 134,"00:30:28.56,00:30:28.54","-33:12:56.0,-33:12:56.2",IIb
SN2008dv,2008/07/01,18.3,NGC 1343,03:37:51.43,+72:34:21.8,Ic
SN2017gpn,2017/08/27,15.9,NGC 1343,03:37:44.970,+72:31:59.00,IIb
SN1959A,1959/01/06,16,NGC 1350,"03:31:10,03:31:10.300,03:31:10.3,03:31:09.85","-33:36.6,-33:36:34.00,-33:36:34.0,-33:36:32.5",
SN2009im,2009/08/24,15.2,NGC 1355,"03:33:22.07,03:33:22.10,03:33:22.104,03:33:22.08","-04:59:56.4,-04:59:55.2,-04:59:55.212,-04:59:56.508",Ia
SN2012fr,2012/10/27,11.74,NGC 1365,"03:33:35.99,03:33:36.288","-36:07:37.7,-36:07:35.04",Ia
SN2001du,2001/08/24,14,NGC 1365,"03:33:29.11,03:33:29.15,03:33:29.100,03:33:29.10","-36:08:32.5,-36:08:31.5,-36:08:31.20,-36:08:31.2",II
SN1983V,1983/11/25,13.5,NGC 1365,"03:33:31.63,03:33:31.661,03:33:31.66","-36:08:55.0,-36:08:54.89,-36:08:54.9",Ic
SN1957C,1957/10/01,16.5,NGC 1365,"03:33:32,03:33:32.100,03:33:32.1,03:33:31.96","-36:07.0,-36:07:02.00,-36:07:02.0,-36:07:11.0",
SN1969A,1969/01/08,17,NGC 1369,"03:36:45,03:36:45.000,03:36:45.0","-36:15.4,-36:15:22.00,-36:15:22.0",
SN2005ke,2005/11/13,13.92,NGC 1371,"03:35:04.35,03:35:04.344,03:35:4.34","-24:56:38.8,-24:56:38.76",Ia Pec
SN1999go,1999/12/23,15.3,NGC 1376,"03:37:05.72,03:37:05.719","-05:02:19.0,-05:02:19.00",II
SN2003lo,2003/12/31,14.7,NGC 1376,03:37:05.12,-05:02:17.3,IIn
SN2011dx,2011/06/27,17.6,NGC 1376,"03:37:05.61,03:37:05.00","-05:01:56.3,-05:01:56.0",Ia-pec.
SN1992A,1992/01/11,12.62,NGC 1380,"03:36:27.41,03:36:27.40,03:36:27.430,03:36:27.43","-34:57:31.4,-34:57:31.59,-34:57:31.50,-34:57:31.5,-34:57:31.6",Ia
SN1996N,1996/03/12,16,NGC 1398,"03:38:55.37,03:38:55.31,03:38:55.310","-26:20:04.0,-26:20:04.1,-26:20:04.09",Ib
SN2007on,2007/11/05,12.78,NGC 1404,"03:38:50.90,03:38:50.9","-35:34:30.0,-35:34:30.00,-35:34:30",Ia
SN2011iv,2011/12/02,13.8,NGC 1404,"03:38:51.35,03:38:51.34",-35:35:32.0,Ia
SN1976L,1976/10/28,17,NGC 1411,"03:39:00,03:39:41.359,03:39:00.7,03:39:41.35","-44:06.2,-44:00:38.02,-44:06:12.0,-44:00:37.8",I
SN2010it,2010/10/11,15.6,NGC 1417,03:41:57.50,-04:42:21.1,Ia
SN2013gy,2013/12/06,14.64,NGC 1418,03:42:16.88,"-04:43:18.5,-04:43:18.6",Ia
SN2005gm,2005/10/09,18,NGC 1423,03:42:39.30,-06:23:04.0,II
SN1985P,1985/10/10,13.35,NGC 1433,"03:42:06.30,03:42:06.33,03:42:06.360,03:42:06.36","-47:12:35.6,-47:12:36.07,-47:12:36.00,-47:12:36.0,-47:12:36.1",II
SN2001el,2001/09/17,12.4,NGC 1448,"03:44:30.60,03:44:30.57,03:44:30.571","-44:38:23.4,-44:38:23.7,-44:38:23.71",Ia
SN2003hn,2003/08/25,14.01,NGC 1448,"03:44:36.1,03:44:36.096,03:44:36.27,03:44:36.10","-44:37:49,-44:37:49.08,-44:37:50.1,-44:37:49.0",II P
SN2014df,2014/06/03,14,NGC 1448,03:44:23.99,-44:40:08.1,Ib
SN1983S,1983/10/06,14.5,NGC 1448,"03:44:34,03:44:34.400,03:44:34.4,03:44:35.06","-44:38.6,-44:38:33.00,-44:38:33.0,-44:38:32.6",II
SN1937E,1937/11/26,13.96,NGC 1482,"03:54:37,03:54:37.600,03:54:37.6,03:54:37.21","-20:29.3,-20:29:17.00,-20:29:17.0,-20:29:17.5",I
